Data;Fonte de Datos;Buyer;Buyer Country;Provedor;País do Provedor;Código HS;Descrição do produto;Quantidade;Unidade;Valor;Direção Comercial;Método de Transporte;Tipo de Comércio;Proveedor Declarado;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;FRANCE;"2912299000 - ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION; CYCLIC PO(..) CYCLIC ALDEHYDES WITHOUT OTHER OXYGEN FUNCTION:OTHER OTHER";ISO PULEGOL M EXTRA 0 073320;10,00;KILOGRAMS;764,07;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;INDIA;"1302199900 - VEGETABLE SAPS AND EXTRACTS; PECTIC SUBSTANCES, PECTINATES AND PECTATES; AG(..) VEGETABLE SAPS AND EXTRACTS:OTHER OTHER: OTHER";COCONUT OIL;185,00;KILOGRAMS;1.084,48;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;GERMANY;2916319000 - UNSATURATED       AC(..) AROMATIC MONOCARBOXYLIC ACIDS, THEIR ANHYDRIDES, HALIDES, PEROXIDES, PEROXYACIDS AND THEIR DERI(..) OTHER;PHENYL ETHYL PHENYL ACETATE 0 084340;100,00;KILOGRAMS;851,75;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;CHINA;2905194000 - ACYCLIC ALCOHOLS AND THEIR HALOGENATED, SULPHONATED, NITRATE(..) SATURATED MONOHYDRIC ALCOHOLS:OTHER DECYL ALCOHOLS (DECANOLS);ALCOHOL C 10 DECYL FCC 0 060500;170,00;KILOGRAMS;1.175,42;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;CHINA;2909200000 - ETHERS, ETHER-ALCOHO(..) CYCLANIC, CYCLENIC OR CYCLOTERPENIC ETHERS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATE(..);EUCALYPTOL NATURAL;720,00;KILOGRAMS;9.379,28;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;GERMANY;2918119000 - CARBOXYLIC ACIDS WIT(..) CARBOXYLIC ACIDS WITH ALCOHOL FUNCTION BUT WITHOUT OTHER OXYGEN FUNCTION, THEIR ANHYDRIDES, HAL(..) OTHER;ETHYL LACTATE NATURAL EU BESTALLY;1,00;KILOGRAMS;135,28;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;SWITZERLAND;"2912299000 - ALDEHYDES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION; CYCLIC PO(..) CYCLIC ALDEHYDES WITHOUT OTHER OXYGEN FUNCTION:OTHER OTHER";PHENYL ACETIC ALDEHYDE PURE FCC 0 083920;25,00;KILOGRAMS;1.039,64;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;INDIA;2914190000 - KETONES AND QUINONES, WHETHER OR NOT WITH OTHER OXYGEN FUNCTION, AND (..) ACYCLIC KETONES WITHOUT OTHER OXYGEN FUNCTION:OTHER;6 METHYL 5 HEPTEN 2 ONE 0 077480;25,00;KILOGRAMS;551,13;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;SWITZERLAND;3301299090 - ESSENTIAL OILS (TERPENELESS OR NOT), INCLUDING CONCRETE(..) ESSENTIAL OILS OTHER THAN THOSE OF CITRUS FRUIT:OTHER OTHER: OTHER;BAY OIL 0 062720;1,00;KILOGRAMS;315,65;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31/03/2026;ECUADOR - IMPORT;FLORASINTESIS FRAGANCIAS Y AROMAS CIA. LTDA;ECUADOR;ERNESTO VENTOS;NOT AVAILABLE;2909200000 - ETHERS, ETHER-ALCOHO(..) CYCLANIC, CYCLENIC OR CYCLOTERPENIC ETHERS AND THEIR HALOGENATED, SULPHONATED, NITRATED OR NITROSATE(..);AMBROX DL;0,68;KILOGRAMS;442,91;IMPORT;MARITIME;DECLARATIONS;ERNESTO VENTOS S.A.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
